姓名 (請填中文真實姓名),Email,手機,所在城市,服務機構,職稱,過去 14 天是否有發燒、咳嗽或呼吸急促症狀？（已服藥者亦須勾選「是」）,過去 14 天是否曾出國至其他境外地區？,同住親友是否有收到居家隔離通知單？,Timestamp
邢馨儀,sun.leffler@yahoo.com,0940778147,臺北市,,,否,否,否,4/7/2021 8:44:45
單志銘,prof.jorge.wunsch@gmail.com,0932057655,桃園市,,,是,否,否,4/7/2021 9:13:10
空佳慧,willie.homenick.md@gmail.com,0916144994,宜蘭縣,曹淑華有限公司,,否,否,否,4/7/2021 20:46:31
仰建文,danial.pfeffer@yahoo.com,0967510246,金門縣,,,否,否,否,4/8/2021 1:31:51
屈靜宜,dawn.predovic@gmail.com,0939536615,雲林縣,,,否,是,否,4/8/2021 5:18:18
解志宏,karl.russel@gmail.com,0943926853,新北市,,實習生,否,否,否,4/8/2021 6:15:39
胥佩玲,dewey.heller.phd@gmail.com,0957511044,金門縣,,,否,是,否,4/8/2021 8:58:8
伊淑華,digna.treutel@yahoo.com,0949282034,雲林縣,,,否,否,否,4/8/2021 12:24:31
柏家榮,avis.funk@hotmail.com,0995498799,臺東縣,,,否,否,否,4/8/2021 12:47:19
查佳琪,ta.kshlerin@yahoo.com,0910115574,基隆市,,,否,否,否,4/8/2021 13:55:11
梅志豪,pres.yadira.mccullough@yahoo.com,0941590164,基隆市,熊美玲銀行,,否,否,否,4/8/2021 15:2:51
巫俊傑,bulah.leuschke@yahoo.com,0976161166,南投縣,,,否,否,否,4/8/2021 15:20:53
麻惠如,jasmine.nitzsche@gmail.com,0947893860,嘉義市,鈄佩玲股份有限公司,後端開發者,否,否,否,4/8/2021 16:1:24
司馬佩珊,mildred.steuber@yahoo.com,0987325481,嘉義縣,方家銘證券,,否,否,是,4/8/2021 19:59:46
石慧玲,pres.rodolfo.mueller@hotmail.com,0938680187,南投縣,,,否,否,否,4/8/2021 22:4:35
周千慧,antonietta.borer.jr@gmail.com,0903319134,宜蘭縣,,,否,否,否,4/8/2021 23:9:32
米俊宏,pres.jerome.larkin@gmail.com,0913479402,苗栗縣,,Android App Developer,否,否,否,4/9/2021 9:4:27
惠鈺婷,walker.murphy@yahoo.com,0938047430,基隆市,王建志銀行,,否,是,否,4/9/2021 15:20:11
雲佳玲,fr.mendy.breitenberg@yahoo.com,0910250951,臺北市,,,否,否,否,4/9/2021 20:2:38
殳俊宏,leo.nicolas@gmail.com,0969244755,臺南市,,,否,否,是,4/10/2021 6:41:2
蒯志偉,cary.wilkinson@gmail.com,0932536367,屏東縣,黎佩芬網,,是,否,否,4/10/2021 9:56:9
淩淑婷,todd.corkery@yahoo.com,0991447167,高雄市,,,是,否,否,4/10/2021 12:19:1
周靜怡,matilda.dicki@yahoo.com,0901371173,基隆市,酈佩蓉企業,後端開發者,否,否,否,4/11/2021 17:41:54
公家榮,mariana.konopelski@yahoo.com,0953277880,金門縣,莊馨儀人壽,,否,否,是,4/11/2021 19:39:24
郎淑萍,irina.powlowski@gmail.com,0988344891,新北市,仇詩婷股份有限公司,Android 工程師,是,否,否,4/11/2021 22:36:53
閻郁婷,leonarda.miller@gmail.com,0922486107,嘉義縣,逄宜君股份有限公司,,否,否,否,4/12/2021 7:6:24
黎雅萍,pres.melisa.ankunding@hotmail.com,0940092970,臺南市,,,否,否,是,4/12/2021 8:53:19
陽雅君,elizabeth.haley.lld@hotmail.com,0982103651,嘉義市,,,否,否,否,4/12/2021 10:18:25
裴心怡,prof.thomas.mitchell@gmail.com,0905505841,臺南市,,,否,否,否,4/12/2021 10:37:59
山家瑋,brent.leuschke@hotmail.com,0944905817,金門縣,敖志宏電腦,前端開發者,否,否,是,4/12/2021 13:15:30
鄒玉玲,neil.cremin@hotmail.com,0912696414,苗栗縣,,,否,否,否,4/12/2021 16:7:15
容惠玲,etsuko.balistreri@yahoo.com,0976458027,臺北市,,,否,否,否,4/12/2021 16:35:17
鍾志宏,amb.marge.harber@hotmail.com,0999199346,基隆市,,,否,否,是,4/12/2021 18:25:42
束佩蓉,riley.rowe@yahoo.com,0971325125,新北市,韓怡慧人壽,,是,否,否,4/13/2021 10:14:3
蒼惠如,mr.neal.rempel@hotmail.com,0909066216,宜蘭縣,,Android 工程師,是,否,否,4/13/2021 16:33:42
康淑婷,claudine.keeling@hotmail.com,0940119265,南投縣,,iOS 開發者,否,否,否,4/13/2021 17:16:24
隆佩芬,charlotte.nienow@yahoo.com,0930407203,新北市,,,否,否,是,4/13/2021 20:22:20
趙俊豪,devon.brakus@yahoo.com,0969355996,金門縣,,,否,否,否,4/13/2021 21:51:2
金雅惠,garret.heller@yahoo.com,0918080005,臺南市,融佳蓉電腦,,否,否,否,4/13/2021 22:46:11
淩慧如,lea.thompson@hotmail.com,0913425053,嘉義縣,,後端開發者,否,否,否,4/14/2021 1:38:24
薊俊傑,patricia.mertz@yahoo.com,0935201686,高雄市,,,否,否,否,4/14/2021 3:32:16
曲佳樺,yong.mckenzie@gmail.com,0967665855,新竹市,,後端開發者,否,否,否,4/14/2021 12:9:27
慎嘉玲,amb.tiana.koepp@yahoo.com,0962444810,雲林縣,,前端開發者,否,否,否,4/14/2021 15:1:47
易雅婷,caleb.abbott@hotmail.com,0966720379,桃園市,,,否,否,否,4/14/2021 15:12:57
越建文,danette.kling.iv@gmail.com,0954369565,金門縣,,,是,否,否,4/14/2021 15:13:30
冷怡婷,armand.schinner@gmail.com,0997550986,宜蘭縣,,Android 開發者,否,否,否,4/14/2021 21:35:29
柏家銘,joette.wilkinson@gmail.com,0918110755,屏東縣,,Android 開發者,否,否,否,4/14/2021 22:36:31
柯惠君,zack.beier.lld@yahoo.com,0937311399,嘉義市,,實習生,否,否,否,4/14/2021 23:1:35
蒯俊宏,renato.dicki@gmail.com,0975305662,臺北市,,,否,是,否,4/15/2021 4:41:47
滕佳琪,scottie.jacobson@gmail.com,0997942905,連江縣,,副工程師,否,否,否,4/15/2021 6:22:33
任雅鈴,herb.keebler.jr@gmail.com,0999385075,嘉義縣,,,否,否,否,4/15/2021 6:25:26
充筱婷,ms.ross.schultz@hotmail.com,0903904348,澎湖縣,,Android Developer,否,否,是,4/15/2021 6:37:15
王千慧,blondell.schimmel@yahoo.com,0915364646,屏東縣,,,否,否,否,4/15/2021 6:49:54
茅淑惠,mrs.octavio.hessel@yahoo.com,0927072267,桃園市,,,否,是,否,4/15/2021 7:51:14
松彥廷,rev.dorine.lebsack@gmail.com,0974611451,新竹市,藍俊宏銀行,Android 開發者,否,否,否,4/15/2021 8:43:51
裴雅萍,candance.wolff.dvm@gmail.com,0946261398,雲林縣,,,否,否,否,4/15/2021 13:39:34
洪佩君,janiece.harris@hotmail.com,0959293362,澎湖縣,,,否,否,否,4/15/2021 14:5:28
計淑娟,jeramy.blanda@yahoo.com,0932303852,花蓮縣,,Android Developer,否,否,否,4/15/2021 16:37:8
宮美玲,vern.streich@yahoo.com,0933159239,基隆市,,前端開發者,否,否,否,4/15/2021 17:57:25
弓立偉,mr.weston.kuhlman@hotmail.com,0904943105,苗栗縣,,,否,否,是,4/15/2021 19:59:43
朱雅芬,ahmad.wiegand@hotmail.com,0922485106,南投縣,,,否,否,否,4/15/2021 23:45:57
滑俊傑,gigi.jacobson@gmail.com,0982164256,臺東縣,,,否,否,否,4/16/2021 2:2:55
張郁婷,dane.hilpert.dds@gmail.com,0924229157,嘉義縣,,前端開發者,是,否,否,4/16/2021 4:22:46
符淑慧,alphonse.stanton.lld@gmail.com,0938169486,桃園市,,後端開發者,否,是,否,4/16/2021 5:6:39
支淑華,glynis.ferry@gmail.com,0961433215,臺東縣,,,否,否,否,4/16/2021 9:4:23
廉靜雯,kelvin.prosacco@yahoo.com,0934488381,屏東縣,,,否,否,否,4/16/2021 14:9:21
弘雅玲,clifford.ferry@yahoo.com,0904672562,雲林縣,,前端開發者,否,否,否,4/16/2021 14:23:34
冀靜儀,kendal.sipes@yahoo.com,0979267767,嘉義市,,,否,是,否,4/16/2021 16:1:15
薑怡婷,al.kshlerin@hotmail.com,0962985598,臺南市,浦淑君網,,否,否,否,4/16/2021 16:45:40
柯淑娟,robyn.funk.jd@yahoo.com,0986797559,宜蘭縣,,,是,否,否,4/17/2021 2:4:7
