姓名 (請填中文真實姓名),Email,手機,所在城市,服務機構,職稱,過去 14 天是否有發燒、咳嗽或呼吸急促症狀？（已服藥者亦須勾選「是」）,過去 14 天是否曾出國至其他境外地區？,同住親友是否有收到居家隔離通知單？,Timestamp
王俊宏,gov.josue.schamberger@yahoo.com,0950948225,連江縣,,助理工程師,否,否,否,8/17/2021 5:43:41
越志偉,dorthy.mayer@hotmail.com,0992052530,臺北市,,,否,否,否,8/17/2021 9:26:27
充佩蓉,dennise.anderson.v@hotmail.com,0948013768,花蓮縣,,,否,否,否,8/18/2021 9:9:44
融美慧,alessandra.veum@yahoo.com,0905840147,連江縣,,,否,否,否,8/18/2021 13:12:56
季俊豪,rep.keri.dach@gmail.com,0960680885,連江縣,,,否,是,是,8/19/2021 15:10:52
明俊豪,eugena.monahan@hotmail.com,0977289052,臺南市,,,否,否,是,8/19/2021 18:48:26
權美君,kena.dietrich@yahoo.com,0933365852,嘉義縣,,,否,否,是,8/19/2021 19:24:24
範玉玲,ricardo.mohr.jd@yahoo.com,0903027688,澎湖縣,,,否,否,否,8/19/2021 23:58:13
晏佳宏,theron.pouros@yahoo.com,0904575327,臺南市,,Android App Developer,否,否,否,8/20/2021 2:43:57
隗雅慧,chi.hudson.lld@gmail.com,0967555734,苗栗縣,,iOS 開發者,否,否,否,8/20/2021 4:27:39
溫雅婷,ayanna.welch@yahoo.com,0970423369,基隆市,酆佳蓉證券,,否,否,否,8/20/2021 7:52:53
燕雅芬,fr.jerold.weissnat@gmail.com,0926929345,桃園市,,,否,否,是,8/20/2021 15:58:48
訾建文,modesto.carter@hotmail.com,0902513392,嘉義縣,,,否,否,否,8/20/2021 16:27:5
陸建志,rickie.leffler@hotmail.com,0905959131,臺南市,,,是,否,否,8/20/2021 21:9:37
向建志,courtney.gerlach@hotmail.com,0908720683,南投縣,,,否,否,否,8/20/2021 23:25:38
成信宏,jamal.mitchell.v@yahoo.com,0910013330,高雄市,,副工程師,否,否,否,8/20/2021 23:53:1
萬俟怡慧,orville.mayert@hotmail.com,0912325284,嘉義市,潘佩玲人壽,Android 開發者,否,是,否,8/21/2021 5:20:25
萬宗憲,rosette.kshlerin@hotmail.com,0937575060,雲林縣,,Android App Developer,否,否,否,8/21/2021 6:2:7
裴鈺婷,ryan.turcotte.sr@yahoo.com,0970418855,澎湖縣,,後端開發者,否,是,否,8/21/2021 17:54:32
單於佳樺,randolph.blanda@gmail.com,0944657543,花蓮縣,,,否,否,否,8/22/2021 4:31:40
蒙志銘,don.hessel@hotmail.com,0928467052,金門縣,,前端開發者,否,否,否,8/22/2021 8:48:39
勞俊男,stan.mohr@hotmail.com,0991210458,金門縣,相雅慧有限公司,,否,否,否,8/22/2021 10:55:32
邴雅芳,minh.williamson@yahoo.com,0973215640,彰化縣,,,否,否,否,8/22/2021 11:28:23
黎靜宜,miss.darren.little@gmail.com,0937945989,宜蘭縣,,後端開發者,否,否,否,8/22/2021 13:42:51
匡韻如,conrad.monahan@hotmail.com,0978339972,新竹市,,,否,否,否,8/22/2021 15:25:26
扈宗憲,dr.tracey.kreiger@yahoo.com,0986518160,基隆市,,,否,否,否,8/22/2021 18:18:46
容婉婷,bettye.macejkovic.dc@yahoo.com,0961382086,新竹縣,,,否,否,否,8/22/2021 21:49:57
