姓名 (請填中文真實姓名),Email,手機,所在城市,服務機構,職稱,過去 14 天是否有發燒、咳嗽或呼吸急促症狀？（已服藥者亦須勾選「是」）,過去 14 天是否曾出國至其他境外地區？,同住親友是否有收到居家隔離通知單？,Timestamp
廉宗憲,miss.jame.toy@hotmail.com,0916186523,雲林縣,,,否,否,否,3/10/2021 1:14:28
雲佳玲,fr.mendy.breitenberg@yahoo.com,0910250951,臺北市,,,否,否,否,3/10/2021 5:23:40
文雅君,kieth.jakubowski@gmail.com,0916433573,臺東縣,,Android 開發者,否,否,否,3/10/2021 7:8:53
宓佳蓉,young.daugherty@hotmail.com,0947146105,澎湖縣,,,否,否,否,3/10/2021 8:43:57
單鈺婷,mrs.olevia.weissnat@yahoo.com,0953659620,金門縣,,,否,否,否,3/10/2021 10:14:11
江惠玲,len.steuber@gmail.com,0937523465,新北市,,前端開發者,否,是,否,3/10/2021 16:36:55
黃雅芳,msgr.carrol.bosco@yahoo.com,0992538551,桃園市,,,否,否,否,3/11/2021 2:57:31
耿佳琪,altha.johnston@gmail.com,0940578577,宜蘭縣,藺宜芳證券,前端開發者,否,否,否,3/11/2021 16:18:1
能惠如,leslie.bahringer@hotmail.com,0938432848,新北市,,,否,是,否,3/12/2021 15:49:56
寇美慧,shantelle.goodwin@hotmail.com,0993590906,宜蘭縣,,,否,否,否,3/12/2021 19:43:49
文佳蓉,shanika.thiel@hotmail.com,0986144707,新竹縣,雲建良股份有限公司,,否,否,否,3/12/2021 23:5:55
闞詩婷,marcelo.bartell@gmail.com,0954606846,宜蘭縣,顧怡婷有限公司,,否,否,否,3/13/2021 18:24:53
東方欣儀,paulita.wilderman@hotmail.com,0939909520,新竹縣,蒯靜雯股份有限公司,iOS 開發者,否,否,否,3/13/2021 22:39:37
韋建志,salina.gulgowski@yahoo.com,0981699312,苗栗縣,,實習生,否,否,否,3/14/2021 10:2:50
闕雅琪,alina.connelly.iii@gmail.com,0990231265,雲林縣,,,是,否,否,3/14/2021 20:38:45
糜俊賢,trey.jast@hotmail.com,0924295332,南投縣,,,否,否,否,3/15/2021 4:5:26
平佩君,tyree.spencer@gmail.com,0968250026,彰化縣,應志明企業,副工程師,否,否,否,3/15/2021 4:17:16
