姓名 (請填中文真實姓名),Email,手機,所在城市,服務機構,職稱,過去 14 天是否有發燒、咳嗽或呼吸急促症狀？（已服藥者亦須勾選「是」）,過去 14 天是否曾出國至其他境外地區？,同住親友是否有收到居家隔離通知單？,Timestamp
危雅玲,cherry.durgan@hotmail.com,0979958933,苗栗縣,,Android 工程師,否,否,否,10/5/2021 8:18:57
鳳怡靜,darell.roberts@yahoo.com,0972056479,臺南市,,,否,否,否,10/5/2021 8:37:47
範佳蓉,loyd.macejkovic.jr@yahoo.com,0976843839,花蓮縣,,,否,否,否,10/5/2021 11:42:49
臧惠如,claudia.hoppe@yahoo.com,0953614997,臺南市,,,否,否,否,10/6/2021 1:37:26
路淑萍,nicky.beatty.vm@yahoo.com,0976797062,嘉義市,利宜芳證券,,否,是,否,10/6/2021 1:55:40
蒙心怡,audrey.conroy.do@gmail.com,0958516587,新北市,,Android 工程師,否,否,否,10/6/2021 5:23:44
毋雅君,johnson.hills@yahoo.com,0903752601,苗栗縣,,,否,否,否,10/6/2021 9:23:21
包嘉慧,mrs.jamie.greenfelder@yahoo.com,0982191361,雲林縣,,Android 開發者,否,否,否,10/6/2021 19:47:41
鄒佩珊,mrs.vern.connelly@gmail.com,0914068257,嘉義市,溥怡靜電腦,,否,否,否,10/6/2021 21:50:46
戚家豪,bert.douglas@hotmail.com,0996902988,新竹縣,,實習生,否,否,否,10/6/2021 23:6:55
梅志強,raymond.wuckert.lld@gmail.com,0919932372,臺東縣,,,否,否,否,10/6/2021 23:35:1
呂婉婷,miss.leesa.bruen@hotmail.com,0942290001,雲林縣,弓雅芳銀行,Android 開發者,否,否,否,10/7/2021 2:31:33
滿立偉,prof.wilbert.mclaughlin@hotmail.com,0937002936,宜蘭縣,支宜芳銀行,,否,否,否,10/7/2021 2:38:5
廉宜芳,pei.wisoky@yahoo.com,0992026207,臺北市,,,否,是,否,10/7/2021 5:9:17
仰鈺婷,jeremy.stokes@hotmail.com,0971207744,臺東縣,,,否,否,否,10/7/2021 5:54:44
韓慧如,leola.west@yahoo.com,0935903376,新北市,,後端開發者,否,否,否,10/7/2021 8:56:9
雙千慧,lonnie.haag@yahoo.com,0973632556,宜蘭縣,,,否,否,否,10/7/2021 12:10:17
公孫惠玲,hermine.krajcik@yahoo.com,0987849102,金門縣,,iOS 開發者,否,否,否,10/7/2021 13:40:31
裘怡君,mrs.matilde.kunde@gmail.com,0970555411,基隆市,,,否,否,否,10/7/2021 14:17:58
李俊宏,rev.janita.mueller@yahoo.com,0970385580,新竹市,,助理工程師,否,否,否,10/7/2021 15:10:40
滿靜雯,mallie.kuvalis@gmail.com,0901725635,新北市,,,否,否,否,10/7/2021 16:22:3
羅靜雯,merrill.mcglynn@yahoo.com,0932955562,臺東縣,,技術總監,否,是,否,10/7/2021 19:58:40
紅建良,angelo.harvey@yahoo.com,0995328614,新北市,,實習生,否,否,否,10/8/2021 8:59:30
雲佳玲,fr.mendy.breitenberg@yahoo.com,0910250951,臺北市,,,否,否,否,10/8/2021 10:43:37
樊怡君,annabelle.kuhn@gmail.com,0999615950,雲林縣,姬郁婷證券,,否,否,否,10/8/2021 22:41:30
鮑俊賢,giuseppe.collins@gmail.com,0982797272,新北市,,副工程師,否,否,是,10/8/2021 23:36:26
曾嘉玲,alex.reinger@yahoo.com,0940119758,臺南市,,Android App Developer,否,否,否,10/9/2021 1:14:27
長孫鈺婷,terrence.lynch.iv@gmail.com,0942308292,金門縣,,iOS 開發者,否,是,否,10/9/2021 1:54:57
廉惠如,willian.mann@hotmail.com,0995353913,新北市,,,否,否,否,10/9/2021 2:16:12
公冶建文,herschel.douglas@hotmail.com,0949542907,連江縣,,,否,否,否,10/9/2021 2:39:55
印慧如,lisbeth.medhurst@hotmail.com,0903051612,嘉義縣,,後端開發者,否,否,否,10/9/2021 6:23:55
郎建良,doug.kris@gmail.com,0990726803,雲林縣,,,否,否,否,10/9/2021 12:13:29
從詩婷,maryam.stokes@yahoo.com,0938286606,澎湖縣,元志明有限公司,,否,否,否,10/9/2021 18:38:45
昌俊賢,filiberto.hartmann@hotmail.com,0964984767,臺南市,,Android 開發者,否,否,是,10/9/2021 22:43:34
束嘉宏,stanton.o'conner@hotmail.com,0936042374,桃園市,,,否,否,否,10/10/2021 1:24:44
荀玉婷,amb.drew.osinski@hotmail.com,0996239287,高雄市,,,是,否,否,10/10/2021 6:54:54
路玉玲,lourdes.nader.i@yahoo.com,0993494287,澎湖縣,桑志銘股份有限公司,前端開發者,否,否,否,10/10/2021 11:47:46
益惠婷,jessie.king@hotmail.com,0952722540,澎湖縣,邰文傑電腦,,否,否,否,10/10/2021 14:16:44
林靜儀,verla.kilback@hotmail.com,0995519387,新竹縣,聞人心怡網,前端開發者,否,否,否,10/10/2021 18:57:50
麻欣怡,prof.jodie.boyle@hotmail.com,0911457186,澎湖縣,聶佳樺股份有限公司,總工程師,否,否,是,10/11/2021 3:42:19
公佩玲,lonnie.gleason.vm@hotmail.com,0919233136,嘉義縣,,,否,否,否,10/12/2021 3:14:18
張俊宏,bob.schmeler@yahoo.com,0916729288,新竹市,,,是,是,否,10/12/2021 12:23:32
宗雅玲,vernice.pfannerstill@gmail.com,0951958275,高雄市,,Android 開發者,否,否,否,10/12/2021 13:36:41
酈建志,lucrecia.konopelski@yahoo.com,0917236448,屏東縣,公冶志強股份有限公司,,否,否,否,10/12/2021 13:42:37
喻佩芬,msgr.esmeralda.monahan@hotmail.com,0943521471,嘉義縣,山美玲證券,,否,否,否,10/12/2021 16:6:51
常郁婷,gladys.reilly@gmail.com,0904185753,基隆市,莫家榮人壽,,否,否,否,10/12/2021 20:21:8
賁佳穎,kandy.willms@gmail.com,0999482129,宜蘭縣,,,否,否,否,10/12/2021 21:2:49
虞淑慧,damien.schultz@gmail.com,0935770530,新竹市,,,否,否,否,10/13/2021 4:33:54
左俊男,toni.ferry@yahoo.com,0903124220,臺東縣,,,否,否,否,10/13/2021 15:55:49
章俊賢,eura.lakin@yahoo.com,0918149932,彰化縣,,後端開發者,否,否,否,10/13/2021 18:27:46
侯信宏,chauncey.lockman.v@yahoo.com,0917522355,嘉義市,,Android App Developer,否,否,否,10/14/2021 4:59:49
孔建志,manuel.prohaska@gmail.com,0937746756,花蓮縣,,,否,否,否,10/14/2021 10:32:46
劉詩婷,corrina.breitenberg.vm@gmail.com,0994042344,嘉義縣,烏志宏有限公司,,否,否,否,10/15/2021 1:12:26
訾雅君,chantell.reichel@hotmail.com,0956514312,桃園市,束志強電腦,,否,否,是,10/15/2021 1:26:23
能惠如,leslie.bahringer@hotmail.com,0938432848,新北市,,,否,是,否,10/15/2021 3:42:44
巴志銘,clemencia.graham.v@gmail.com,0989697301,嘉義市,,助理工程師,否,否,否,10/15/2021 4:15:18
崔淑惠,mrs.josefine.macgyver@hotmail.com,0961836459,臺北市,平郁婷有限公司,後端開發者,否,否,否,10/15/2021 7:16:13
奚宜君,minda.kessler@yahoo.com,0976252044,苗栗縣,,,否,否,否,10/15/2021 11:46:25
羿靜宜,temika.fritsch@gmail.com,0935003143,新竹縣,,Android 開發者,否,否,否,10/15/2021 15:54:51
饒宗翰,cyndi.kuphal.lld@hotmail.com,0994072261,嘉義市,,,否,否,否,10/15/2021 16:3:47
古怡伶,robert.nikolaus@hotmail.com,0927007067,臺東縣,,,是,否,否,10/15/2021 16:5:59
唐佳穎,sharlene.brakus.phd@yahoo.com,0906405699,臺中市,,Android App Developer,否,否,否,10/15/2021 18:10:1
隆佳穎,les.bailey@yahoo.com,0909642123,新北市,,,否,否,否,10/15/2021 18:41:59
晏馨儀,danial.gusikowski@gmail.com,0968579734,南投縣,,,否,否,否,10/15/2021 19:32:19
糜慧玲,terence.jacobs@yahoo.com,0949505799,新北市,,副工程師,否,否,否,10/15/2021 19:41:22
司馬雅玲,the.hon.tory.bruen@gmail.com,0933491555,基隆市,,,否,否,否,10/16/2021 9:30:32
包家榮,hai.denesik@hotmail.com,0905399432,臺北市,,,否,否,是,10/16/2021 10:43:29
於淑華,rosaline.jaskolski@gmail.com,0976729859,嘉義市,,,否,否,否,10/16/2021 17:57:51
羿雅芬,msgr.nohemi.bailey@gmail.com,0982678422,新竹縣,,,是,否,否,10/17/2021 10:21:22
宰嘉慧,aletha.purdy.ret@hotmail.com,0925893798,嘉義市,,,否,否,否,10/18/2021 5:9:14
茹鈺婷,olen.greenfelder@yahoo.com,0927513559,基隆市,,,否,否,否,10/18/2021 5:34:56
方靜宜,oscar.ritchie@hotmail.com,0901074229,宜蘭縣,,,否,否,否,10/18/2021 12:27:20
宰慧君,cedric.dickinson@yahoo.com,0950615719,臺南市,,iOS 開發者,否,否,否,10/18/2021 14:28:41
曆家豪,gracie.lakin@gmail.com,0985191983,苗栗縣,賁佳琪網,後端開發者,否,否,否,10/18/2021 15:8:37
聞俊豪,ronda.parker@gmail.com,0978158067,桃園市,,,否,否,是,10/18/2021 20:6:44
曆智偉,tod.trantow@gmail.com,0967196973,花蓮縣,,,否,否,是,10/18/2021 22:33:55
